PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	DEIKER, TE; HOFFELD, DR								INTERFERENCE WITH RITUALIZED THREAT BEHAVIOR IN CICHLASOMA-NIGROFASCIATUM								ANIMAL BEHAVIOUR				21	AUG			607	612		10.1016/S0003-3472(73)80023-5			1973	1973										4							WOS:A1973R123400023		
J	SMART, JL; PREECE, J								MATERNAL BEHAVIOR OF UNDERNOURISHED MOTHER RATS								ANIMAL BEHAVIOUR				21	AUG			613	619		10.1016/S0003-3472(73)80024-7			1973	1973										61							WOS:A1973R123400024		
J	SMITH, L; BERKSON, G								LITTER STIMULUS FACTORS IN MATERNAL RETRIEVAL (RATTUS-RATTUS)								ANIMAL BEHAVIOUR				21	AUG			620	623		10.1016/S0003-3472(73)80025-9			1973	1973										6							WOS:A1973R123400025		
J	KLEIMAN, DG; EISENBERG, JF								COMPARISONS OF CANID AND FELID SOCIAL-SYSTEMS FROM AN EVOLUTIONARY PERSPECTIVE								ANIMAL BEHAVIOUR				21	NOV			637	659		10.1016/S0003-3472(73)80088-0			1973	1973										235							WOS:A1973S026600001		
J	JOLLEY, A; DREESMAN, H								INCREASED ILLUMINATION LEVEL DURING GESTATION AND OFFSPRING EMOTIONALITY IN RAT								ANIMAL BEHAVIOUR				21	NOV			660	664		10.1016/S0003-3472(73)80089-2			1973	1973										3							WOS:A1973S026600002		
J	JOHNSON, RN; JOHNSON, LD								INTRASPECIFIC AND INTERSPECIFIC SOCIAL AND AGGRESSIVE-BEHAVIOR IN SIAMESE FIGHTING FISH, BETTA-SPLENDENS								ANIMAL BEHAVIOUR				21	NOV			665	672		10.1016/S0003-3472(73)80090-9			1973	1973										25							WOS:A1973S026600003		
J	PITCHER, TJ								3-DIMENSIONAL STRUCTURE OF SCHOOLS IN MINNOW, PHOXINUS-PHOXINUS (L)								ANIMAL BEHAVIOUR				21	NOV			673	686		10.1016/S0003-3472(73)80091-0			1973	1973										60							WOS:A1973S026600004		
J	MURPHEY, RM								SPATIAL DISCRIMINATION PERFORMANCE OF DROSOPHILA-MELANOGASTER - TEST-RETEST ASSESSMENTS AND A REINTERPRETATION								ANIMAL BEHAVIOUR				21	NOV			687	690		10.1016/S0003-3472(73)80092-2			1973	1973										11							WOS:A1973S026600005		
J	BRIAN, MV								QUEEN RECOGNITION BY BROOD-REARING WORKERS OF ANT MYRMICA-RUBRA L								ANIMAL BEHAVIOUR				21	NOV			691	698		10.1016/S0003-3472(73)80093-4			1973	1973										27							WOS:A1973S026600006		
J	CRAIG, PC								ORIENTATION OF SAND-BEACH AMPHIPOD, ORCHESTOIDEA-CORNICULATA								ANIMAL BEHAVIOUR				21	NOV			699	706		10.1016/S0003-3472(73)80094-6			1973	1973										38							WOS:A1973S026600007		
