PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Chisholm, Paul J.; Sertsuvalkul, Nyd; Casteel, Clare L.; Crowder, David W.								Reciprocal plant-mediated interactions between a virus and a non-vector herbivore								ECOLOGY				99	10			2139	2144		10.1002/ecy.2449			OCT 2018	2018										0							WOS:000446270400001		
J	Knapp, Alan K.; Carroll, Charles J. W.; Griffin-Nolan, Robert J.; Slette, Ingrid J.; Chaves, Francis A.; Baur, Lauren E.; Felton, Andrew J.; Gray, Jesse E.; Hoffman, Ava M.; Lemoine, Nathan P.; Mao, Wei; Post, Alison K.; Smith, Melinda D.								A reality check for climate change experiments: Do they reflect the real world?								ECOLOGY				99	10			2145	2151		10.1002/ecy.2474			OCT 2018	2018										0							WOS:000446270400002		
J	Hepler, Staci A.; Erhardt, Robert; Anderson, T. Michael								Identifying drivers of spatial variation in occupancy with limited replication camera trap data								ECOLOGY				99	10			2152	2158		10.1002/ecy.2396			OCT 2018	2018										0							WOS:000446270400003		
J	Bauman, David; Drouet, Thomas; Fortin, Marie-Josee; Dray, Stephane								Optimizing the choice of a spatial weighting matrix in eigenvector-based methods								ECOLOGY				99	10			2159	2166		10.1002/ecy.2469			OCT 2018	2018										1							WOS:000446270400004		
J	Thomann, Michel; Ehrlen, Johan; Agren, Jon								Grazers affect selection on inflorescence height both directly and indirectly and effects change over time								ECOLOGY				99	10			2167	2175		10.1002/ecy.2470			OCT 2018	2018										0							WOS:000446270400005		
J	Fletcher, Robert J.; Reichert, Brian E.; Holmes, Katherine								The negative effects of habitat fragmentation operate at the scale of dispersal								ECOLOGY				99	10			2176	2186		10.1002/ecy.2467			OCT 2018	2018										0							WOS:000446270400006		
J	Farzan, Shahla; Yang, Louie H.								Experimental shifts in phenology affect fitness, foraging, and parasitism in a native solitary bee								ECOLOGY				99	10			2187	2195		10.1002/ecy.2475			OCT 2018	2018										0							WOS:000446270400007		
J	DeMalach, Niv; Kadmon, Ronen								Seed mass diversity along resource gradients: the role of allometric growth rate and size-asymmetric competition								ECOLOGY				99	10			2196	2206		10.1002/ecy.2450			OCT 2018	2018										0							WOS:000446270400008		
J	Douda, Jan; Doudova, Jana; Hulik, Josef; Havrdova, Alena; Boublik, Karel								Reduced competition enhances community temporal stability under conditions of increasing environmental stress								ECOLOGY				99	10			2207	2216		10.1002/ecy.2466			OCT 2018	2018										0							WOS:000446270400009		
J	Simler, Allison B.; Metz, Margaret R.; Frangioso, Kerri M.; Meentemeyer, Ross K.; Rizzo, David M.								Novel disturbance interactions between fire and an emerging disease impact survival and growth of resprouting trees								ECOLOGY				99	10			2217	2229		10.1002/ecy.2493			OCT 2018	2018										0							WOS:000446270400010		
